,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs,subject
0,0.9107142857142857,0.6566666666666666,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.5555555555555555,SVM,over,98,2,8,4,1.1358651365134698,0.2,8,32,8,kms
1,0.8839285714285714,0.825,0.5806451612903226,0.47368421052631576,0.75,0.5113636363636364,XGB_untuned,over,90,10,3,9,0.0,0.0,8,32,8,kms
2,0.8660714285714286,0.595,0.28571428571428575,0.3333333333333333,0.25,0.3125,LDA,over,94,6,9,3,0.0,0.0,8,32,8,kms
0,0.9017857142857143,0.835,0.6206896551724139,0.5294117647058824,0.75,0.5625,SVM,over,92,8,3,9,4.015304486767269,0.4,8,32,8,lv
1,0.8839285714285714,0.825,0.5806451612903226,0.47368421052631576,0.75,0.5113636363636364,XGB_untuned,over,90,10,3,9,1.1358651365134698,0.2,8,32,8,lv
2,0.9285714285714286,0.85,0.6923076923076924,0.6428571428571429,0.75,0.6617647058823529,LDA,over,95,5,3,9,1.1358651365134698,0.2,8,32,8,lv
0,0.9196428571428571,0.7716666666666667,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.625,SVM,over,96,4,5,7,1.1358651365134698,0.2,8,32,8,mam
1,0.8571428571428571,0.7733333333333333,0.5,0.4,0.6666666666666666,0.43478260869565216,XGB_untuned,over,88,12,4,8,4.015304486767269,0.4,8,32,8,mam
2,0.9196428571428571,0.735,0.5714285714285715,0.6666666666666666,0.5,0.625,LDA,over,97,3,6,6,1.1358651365134698,0.2,8,32,8,mam
0,0.9,0.7244897959183674,0.5217391304347826,0.5454545454545454,0.5,0.5357142857142857,SVM,over,93,5,6,6,0.0,0.0,8,32,8,mb
1,0.8363636363636363,0.7619047619047619,0.4705882352941177,0.36363636363636365,0.6666666666666666,0.4,XGB_untuned,over,84,14,4,8,1.1358651365134698,0.2,8,32,8,mb
2,0.8818181818181818,0.7874149659863945,0.5517241379310345,0.47058823529411764,0.6666666666666666,0.5,LDA,over,89,9,4,8,0.0,0.0,8,32,8,mb
0,0.9642857142857143,0.87,0.8181818181818182,0.9,0.75,0.8653846153846154,SVM,over,99,1,3,9,4.015304486767269,0.4,8,32,8,mbm
1,0.9107142857142857,0.8400000000000001,0.6428571428571429,0.5625,0.75,0.5921052631578947,XGB_untuned,over,93,7,3,9,1.1358651365134698,0.2,8,32,8,mbm
2,0.9285714285714286,0.8133333333333332,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,LDA,over,96,4,4,8,1.1358651365134698,0.2,8,32,8,mbm
0,0.9732142857142857,0.9116666666666666,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.8928571428571428,SVM,over,99,1,2,10,4.015304486767269,0.4,8,32,8,mbu
1,0.9196428571428571,0.8816666666666667,0.6896551724137931,0.5882352941176471,0.8333333333333334,0.625,XGB_untuned,over,93,7,2,10,0.0,0.0,8,32,8,mbu
2,0.9642857142857143,0.87,0.8181818181818182,0.9,0.75,0.8653846153846154,LDA,over,99,1,3,9,4.015304486767269,0.4,8,32,8,mbu
0,0.9375,0.855,0.7199999999999999,0.6923076923076923,0.75,0.703125,SVM,over,96,4,3,9,1.1358651365134698,0.2,8,32,8,mma
1,0.9375,0.855,0.7199999999999999,0.6923076923076923,0.75,0.703125,XGB_untuned,over,96,4,3,9,7.932337585218177,0.6,8,32,8,mma
2,0.9732142857142857,0.875,0.8571428571428571,1.0,0.75,0.9375,LDA,over,100,0,3,9,4.015304486767269,0.4,8,32,8,mma
0,0.9196428571428571,0.735,0.5714285714285715,0.6666666666666666,0.5,0.625,SVM,over,97,3,6,6,1.1358651365134698,0.2,8,32,8,mp
1,0.8660714285714286,0.7050000000000001,0.4444444444444445,0.4,0.5,0.4166666666666667,XGB_untuned,over,91,9,6,6,0.0,0.0,8,32,8,mp
2,0.9375,0.855,0.7199999999999999,0.6923076923076923,0.75,0.703125,LDA,over,96,4,3,9,1.1358651365134698,0.2,8,32,8,mp
0,0.8378378378378378,0.5795454545454546,0.25,0.25,0.25,0.25,SVM,over,90,9,9,3,0.0,0.0,8,32,8,nb
1,0.7747747747747747,0.5441919191919191,0.1935483870967742,0.15789473684210525,0.25,0.17045454545454544,XGB_untuned,over,83,16,9,3,1.1358651365134698,0.2,8,32,8,nb
2,0.7567567567567568,0.46085858585858586,0.06896551724137931,0.058823529411764705,0.08333333333333333,0.0625,LDA,over,83,16,11,1,1.1358651365134698,0.2,8,32,8,nb
0,0.8558558558558559,0.7361111111111112,0.4666666666666666,0.3888888888888889,0.5833333333333334,0.4166666666666667,SVM,over,88,11,5,7,1.1358651365134698,0.2,8,32,8,nva
1,0.8108108108108109,0.6742424242424243,0.36363636363636365,0.2857142857142857,0.5,0.3125,XGB_untuned,over,84,15,6,6,0.0,0.0,8,32,8,nva
2,0.8558558558558559,0.6628787878787878,0.3846153846153846,0.35714285714285715,0.4166666666666667,0.36764705882352944,LDA,over,90,9,7,5,0.0,0.0,8,32,8,nva
0,0.9464285714285714,0.7866666666666666,0.7000000000000001,0.875,0.5833333333333334,0.7954545454545454,SVM,over,99,1,5,7,0.0,0.0,8,32,8,rae
1,0.8839285714285714,0.7516666666666667,0.5185185185185186,0.4666666666666667,0.5833333333333334,0.48611111111111116,XGB_untuned,over,92,8,5,7,0.0,0.0,8,32,8,rae
2,0.8928571428571429,0.7933333333333333,0.5714285714285715,0.5,0.6666666666666666,0.5263157894736842,LDA,over,92,8,4,8,4.015304486767269,0.4,8,32,8,rae
0,0.9375,0.8916666666666666,0.7407407407407408,0.6666666666666666,0.8333333333333334,0.6944444444444444,SVM,over,95,5,2,10,7.932337585218177,0.6,8,32,8,rkv
1,0.9196428571428571,0.8083333333333333,0.64,0.6153846153846154,0.6666666666666666,0.625,XGB_untuned,over,95,5,4,8,4.015304486767269,0.4,8,32,8,rkv
2,0.9732142857142857,0.9116666666666666,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.8928571428571428,LDA,over,99,1,2,10,4.015304486767269,0.4,8,32,8,rkv
0,0.9099099099099099,0.7297979797979798,0.5454545454545454,0.6,0.5,0.5769230769230769,SVM,over,95,4,6,6,0.0,0.0,8,32,8,sav
1,0.8828828828828829,0.8244949494949495,0.5806451612903226,0.47368421052631576,0.75,0.5113636363636364,XGB_untuned,over,89,10,3,9,0.0,0.0,8,32,8,sav
2,0.8558558558558559,0.6262626262626263,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,LDA,over,91,8,8,4,0.0,0.0,8,32,8,sav
0,0.9910714285714286,0.995,0.9600000000000001,0.9230769230769231,1.0,0.9375,SVM,over,99,1,0,12,4.015304486767269,0.4,8,32,8,sdk
1,0.9732142857142857,0.985,0.888888888888889,0.8,1.0,0.8333333333333334,XGB_untuned,over,97,3,0,12,4.015304486767269,0.4,8,32,8,sdk
2,0.9642857142857143,0.8333333333333333,0.8,1.0,0.6666666666666666,0.9090909090909091,LDA,over,100,0,4,8,4.015304486767269,0.4,8,32,8,sdk
0,0.9514563106796117,0.8127470355731226,0.7368421052631579,0.875,0.6363636363636364,0.813953488372093,SVM,over,91,1,4,7,5.85278184622051,0.5,8,32,8,ski
1,0.8446601941747572,0.7929841897233202,0.5,0.38095238095238093,0.7272727272727273,0.42105263157894735,XGB_untuned,over,79,13,3,8,5.85278184622051,0.5,8,32,8,ski
2,0.8640776699029126,0.6037549407114624,0.3,0.3333333333333333,0.2727272727272727,0.3191489361702127,LDA,over,86,6,8,3,5.85278184622051,0.5,8,32,8,ski
0,0.9375,0.8916666666666666,0.7407407407407408,0.6666666666666666,0.8333333333333334,0.6944444444444444,SVM,over,95,5,2,10,0.0,0.0,8,32,8,smv
1,0.8571428571428571,0.7733333333333333,0.5,0.4,0.6666666666666666,0.43478260869565216,XGB_untuned,over,88,12,4,8,1.1358651365134698,0.2,8,32,8,smv
2,0.9017857142857143,0.725,0.5217391304347826,0.5454545454545454,0.5,0.5357142857142857,LDA,over,95,5,6,6,4.015304486767269,0.4,8,32,8,smv
0,0.8918918918918919,0.7929292929292929,0.5714285714285715,0.5,0.6666666666666666,0.5263157894736842,SVM,over,91,8,4,8,0.0,0.0,8,32,8,ss
1,0.9009009009009009,0.8345959595959596,0.6206896551724139,0.5294117647058824,0.75,0.5625,XGB_untuned,over,91,8,3,9,0.0,0.0,8,32,8,ss
2,0.8738738738738738,0.6363636363636364,0.3636363636363636,0.4,0.3333333333333333,0.3846153846153846,LDA,over,93,6,8,4,0.0,0.0,8,32,8,ss
0,0.8928571428571429,0.7566666666666667,0.5384615384615384,0.5,0.5833333333333334,0.5147058823529412,SVM,over,93,7,5,7,0.0,0.0,8,32,8,tg
1,0.8035714285714286,0.7433333333333333,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.3448275862068965,XGB_untuned,over,82,18,4,8,4.015304486767269,0.4,8,32,8,tg
2,0.8928571428571429,0.6833333333333333,0.45454545454545453,0.5,0.4166666666666667,0.4807692307692307,LDA,over,95,5,7,5,0.0,0.0,8,32,8,tg
0,0.9553571428571429,0.9016666666666666,0.8,0.7692307692307693,0.8333333333333334,0.7812499999999999,SVM,over,97,3,2,10,1.1358651365134698,0.2,8,32,8,tp
1,0.8660714285714286,0.815,0.5454545454545454,0.42857142857142855,0.75,0.46875000000000006,XGB_untuned,over,88,12,3,9,0.0,0.0,8,32,8,tp
2,0.9553571428571429,0.865,0.7826086956521738,0.8181818181818182,0.75,0.8035714285714286,LDA,over,98,2,3,9,4.015304486767269,0.4,8,32,8,tp
